prefecture,year,month,positive,death,population,qe,FujiiKasaigdo,Fujiigdo,FujiiKasaigdp,Fujiigdp,rdei,qFujiigdp,qFujiigdponly,qFujiiKasaigdponly,qrdei,qrdeionly,mobility,creditall,creditservice,pos,travel,eventticket,restaurantinfo,joboffer,eventinfo,travelinfo,movieinfo,departsuper,conveni,kaden,drugstore,Kasaiiip,hhexp,TDBall,TDBagri,TDBkinyuu,TDBkensetsu,TDBfudosan,TDBseizou,TDBoroshi,TDBkouri,TDBunyu,TDBservice,TDBother,TDBdaikigyo,TDBchusho,koujihi,newtruck,newcar,yuirail,airport,hotel,fish,elec,ship,kankou3,kankou2,kankou1,car2,car1,deposit,loan,machine2,machine1,ex2,ex1,wage2,wage1,employ,cpi,di,ci,fusai2,fusai1,tosan2,tosan1,ryoko,setsubi,infra2,infra1,newcar3,newcar2,newcar1
Akita,2021,4,172,3,981000,,,,97.143326,97.74455109,,,,,,,8.25,1.098,0.2695,2.034614,-59.82552801,-85.8585859,-28.73990435,2,,,,0.6,9,13.2,3.1,103.7,301043,42,41.7,,42.2,40,45.2,40.6,37.5,83.3,38.9,16.7,48.7,40.7,44.72011145,532,1063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akita,2021,5,300,5,981000,,,,,94.92272865,,,,,,,8,6,-1.5,2.2394725,-39,-100,-43.67587399,10.93820959,,,,,,,,,281063,40.5,44.4,,43.3,33.3,47.4,39.2,33.3,33.3,34.7,16.7,41.7,40.3,73.4,503,993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akita,2021,6,120,6,981000,,,,,,,,,,,,13.75,,,-1.393118148,,,-41.43210359,10.35477257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akita,2021,7,119,0,981000,,,,,,,,,,,,11.5,,,6,,,-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aomori,2020,1,0,0,1263000,99.99999542,102.05634,102.02887,100,99.99999983,100,102.02887,101.58937,101.58937,102.02887,102.47218,,3.5,0.5,5.666666667,0,565.5913978,3.928956958,-9.666666667,-6.845641358,3.32524698,10.52662004,-2.2,-1,4.1,5.1,119.5,287173,,,,,,,,,,,,,,-39.62004476,384,1135,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.8,-64.6,,81.2,,,
Aomori,2020,2,0,0,1263000,99.99999542,98.606438,100.6153,95.712173,99.70202143,97.527061,101.72485,101.28665,97.233391,99.50576,99.93811,-0.5,3,-0.5,1.296296296,-24,-80.1104972,0.976047765,-6.481481481,-7.15066423,1.116019326,-0.05001565,2.3,3.1,9.1,20,104.4,271735,38,,,47.9,33.3,35.2,36.3,31.7,44.4,32.1,25,48.8,36,-42.55043213,498,1431,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,-37.9,,2.5,,,
Aomori,2020,3,8,0,1263000,99.99999542,96.830734,97.552811,94.760773,96.22728672,94.998611,98.179611,97.756691,96.266869,96.92601,97.347153,-3,-0.5,1,-1.75,-60,-99.1950758,-17.55216246,-6.25,0.520274561,-20.23491842,-8.589404724,-5.3,-4.7,-5.1,19.6,110.4,292214,30.8,,,38,33.3,29.6,30,27.1,33.3,24.4,16.7,33.3,30.4,-40.70542349,705,2090,,,,,,,,,,,,,,,,,,,,,,,,,,,,-60,-61.6,,-6.3,,,
Aomori,2020,4,18,0,1263000,91.70163915,92.44648,93.837692,87.13356,89.45476172,93.448776,91.788582,93.292061,90.871284,95.886803,94.366005,-13.625,-2,-1,3.266666667,-96,-100,-63.94861076,-12.33333333,-57.39324324,-45.37834206,-18.83666184,-8.5,-10.8,2,13.3,99.6,267922,29.1,,,38.3,16.7,27.5,27.3,33.3,25,13.6,16.7,33.3,28.5,-32.64732233,408,836,,,,,,,,,,,,,,,,,,,,,,,,,,,,-95.4,-38.9,,8.7,,,
Aomori,2020,5,1,1,1263000,91.70163915,90.430939,92.428444,83.470963,86.98243128,93.174271,89.251755,90.713676,87.051575,95.605133,94.088806,-7.75,-0.5,-1,2.75,-98,-96.5742251,-47.41649037,-26.5,-73.33516737,-52.88635575,-18.27666582,-3.5,-8.3,21.8,8.6,89.6,252017,26.6,,,35.6,33.3,23.1,27,20.8,16.7,17.9,16.7,30.3,26.1,0.096314219,352,711,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.7,-1.9,,-40.3,,,
Aomori,2020,6,0,0,1263000,91.70163915,93.456116,96.680786,87.517883,93.40851062,95.036636,95.845482,97.415413,91.272095,97.51609,95.969452,0.125,-3,-0.5,1.5,-89,-100,-26.64738472,-26.5,-57.86535734,-30.34180818,-32.4236174,-0.4,-0.7,45.5,14.1,85.1,273699,32.2,,,41.4,33.3,28.1,27.2,35,22.2,25.9,16.7,33.3,32,-6.204507174,519,1268,,,,,,,,,,,,,,,,,,,,,,,,,,,,-95.2,58.6,,36.8,,,
Aomori,2020,7,5,0,1263000,96.53953546,94.424751,96.264824,89.647163,93.85580661,92.902283,96.756317,96.816338,92.474937,95.773331,95.714005,3.75,-3,-1.5,-1.612903226,-63,-100,-20.46205182,-21.32258065,-52.75336274,-2.600692194,-44.73877733,1.5,-5.6,6,11,94.6,266897,33.5,33.3,,41.1,41.7,32.5,31.7,31,25,26.7,8.3,36.4,33.1,42.69307948,562,1481,,,,,,,,,,,,,,,,,,,,,,,,,,,,-91.4,-48.4,,-1.9,,,
Aomori,2020,8,3,0,1263000,96.53953546,95.963875,97.658661,90.792313,94.72951886,94.732674,97.657036,97.717606,93.656212,97.660286,97.599792,12,-1,-0.5,-2.75,-55,-100,-33.80802797,-11.5,-63.46804294,-17.63347477,-31.51289416,-2,-7.3,3,11.5,96.4,276360,34.2,66.7,,40.9,25,33.3,31.7,31.5,33.3,24.2,16.7,36.4,33.9,-32.64118882,424,1144,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89.6,-22.3,,-15.5,,,
Aomori,2020,9,1,0,1263000,96.53953546,97.072021,98.390358,93.059685,96.27405726,94.607658,99.249306,99.310867,95.995102,97.53141,97.470993,7.625,-2.5,-0.5,-9.185185185,7,-97.834912,-8.834308076,-14.88888889,-57.60106515,-13.59215131,-1.201186926,-7.1,-0.8,-34.7,-1.4,101.3,269863,33.5,33.3,,44.4,27.8,34.2,29.4,29.6,16.7,25.6,16.7,37.5,33,10.60202565,561,1664,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79.4,13.6,,11.1,,,
Aomori,2020,10,191,3,1263000,99.25709645,98.480782,99.955673,94.193665,97.423837,96.316132,100.52717,100.2518,96.927864,99.384178,99.657928,9.75,-3,-2,4.806451613,42,-97.3007712,-14.11641043,-13.38709677,-59.18350932,16.60936075,16.41548122,3.8,-2.4,37.3,11.9,103.1,283508,34.1,,,45.8,25,32.5,31.7,33.3,23.3,20.5,16.7,38.9,33.5,-11.95821605,677,1487,,,,,,,,,,,,,,,,,,,,,,,,,,,,-67.5,50.8,,13,,,
Aomori,2020,11,68,2,1263000,99.25709645,97.789116,99.842087,92.708153,97.05617032,96.463638,100.14779,99.873466,95.399239,99.536385,99.810547,0.125,-4.5,-1,1.75,117,-71.2929145,-22.52986159,-2.75,-21.43967209,-3.547742144,8.888389379,2.5,-1.1,28.8,15.4,98.1,278718,35.4,66.7,,43,38.9,36.7,31.1,35.2,23.3,29.4,16.7,44,34.1,-9.916247545,636,1430,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82.2,-51.2,,-42.5,,,
Aomori,2020,12,187,2,1263000,99.25709645,97.960854,99.40374,93.344414,96.51061052,96.159576,99.584854,99.312065,96.053963,99.222633,99.495941,-9,3.5,0,6.967741935,87,-93.495935,-37.78924724,-10.19354839,-20.29195554,-15.05163922,-15.43152657,-0.2,-1,12.7,8.3,102.1,315007,34.3,66.7,,42.2,27.8,36.8,27.8,36.4,5.6,29.2,16.7,40.3,33.5,-38.34753836,450,1085,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82.9,-57.8,,-24,,,
