prefecture,year,month,positive,death,population,FujiiKasaigdo,Fujiigdo,FujiiKasaigdp,Fujiigdp,rdei,mobility,creditall,creditservice,pos,travel,eventticket,restaurantinfo,joboffer,eventinfo,travelinfo,movieinfo,departsuper,conveni,kaden,drugstore,Kasaiiip,TDBall,TDBagri,TDBkinyuu,TDBkensetsu,TDBfudosan,TDBseizou,TDBoroshi,TDBkouri,TDBunyu,TDBservice,TDBother,TDBdaikigyo,TDBchusho,koujihi,newtruck,newcar,yuirail,airport,hotel,fish,elec,ship,kankou3,kankou2,kankou1,car2,car1,deposit,loan,machine2,machine1,ex2,ex1,wage2,wage1,employ,cpi,di,ci,fusai2,fusai1,tosan2,tosan1,ryoko,setsubi,infra2,infra1,newcar3,newcar2,newcar1
Akita,2021,4,172,3,981000,,,,,,8.25,,,3.4000001,,,-27.52,3.6666667,,,,,,,,,42,41.7,,42.2,40,45.2,40.6,37.5,83.3,38.9,16.7,48.7,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akita,2021,5,141,0,981000,,,,,,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aomori,2020,1,0,0,1263000,102.05053,102.04228,100,99.999999840466,100,,3.5,.5,5.6666665,0,565.5913978,3.928956957897361,-9.666667,-6.845641357794009,3.325246979757035,10.52662003649937,-2.2,-1,4.1,5.1,117.2,,,,,,,,,,,,,,-39.62004475992189,384,1135,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.8,-64.59999999999999,,81.2,,,
Aomori,2020,2,0,0,1263000,98.890106,100.76617,96.066811,99.75951924656552,97.739349,-.5,3,-.5,1.2962962,-24,-80.1104972,.9760477647806218,-6.4814816,-7.150664229707214,1.116019326301773,-.0500156504966605,2.3,3.1,9.1,20,103.7,38,,,47.9,33.3,35.2,36.3,31.7,44.4,32.1,25,48.8,36,-42.55043213066253,498,1431,,,,,,,,,,,,,,,,,,,,,,,,,,,,-.8,-37.9,,2.5,,,
Aomori,2020,3,8,0,1263000,97.560394,97.803162,95.715446,96.20672427917739,95.484711,-3,-.5,1,-1.75,-60,-99.1950758,-17.55216246141814,-6.25,.5202745605247479,-20.23491841843047,-8.589404724498301,-5.3,-4.7,-5.1,19.6,111.8,30.8,,,38,33.3,29.6,30,27.1,33.3,24.4,16.7,33.3,30.4,-40.70542349334,705,2090,,,,,,,,,,,,,,,,,,,,,,,,,,,,-60,-61.6,,-6.3,,,
Aomori,2020,4,18,0,1263000,92.735825,94.154694,87.083992,89.35305664306993,93.872124,-13.625,-2,-1,3.2666667,-96,-100,-63.9486107631118,-12.333333,-57.39324323995391,-45.37834205963415,-18.8366618357688,-8.5,-10.8,2,13.3,97.5,29.1,,,38.3,16.7,27.5,27.3,33.3,25,13.6,16.7,33.3,28.5,-32.64732232841671,408,836,,,,,,,,,,,,,,,,,,,,,,,,,,,,-95.40000000000001,-38.9,,8.699999999999999,,,
Aomori,2020,5,1,1,1263000,90.854965,92.701012,83.802612,86.91293946470812,93.48336,-7.75,-.5,-1,2.75,-98,-96.57422510000001,-47.41649037082465,-26.5,-73.33516737330599,-52.88635575387618,-18.27666582161797,-3.5,-8.300000000000001,21.8,8.6,89.09999999999999,26.6,,,35.6,33.3,23.1,27,20.8,16.7,17.9,16.7,30.3,26.1,.0963142192675406,352,711,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.7,-1.9,,-40.3,,,
Aomori,2020,6,0,0,1263000,93.756599,96.719864,87.907326,93.17635846168305,95.040634,.125,-3,-.5,1.5,-89,-100,-26.64738472014243,-26.5,-57.86535734483285,-30.34180818233763,-32.42361739961657,-.4,-.7,45.5,14.1,84.90000000000001,32.2,,,41.4,33.3,28.1,27.2,35,22.2,25.9,16.7,33.3,32,-6.204507174496754,519,1268,,,,,,,,,,,,,,,,,,,,,,,,,,,,-95.2,58.6,,36.8,,,
Aomori,2020,7,5,0,1263000,94.633286,96.470116,89.652786,93.75580984558806,93.114532,3.75,-3,-1.5,-1.6129032,-63,-100,-20.46205182141098,-21.32258,-52.75336274404371,-2.600692193795058,-44.7387773279001,1.5,-5.6,6,11,92.8,33.5,33.3,,41.1,41.7,32.5,31.7,31,25,26.7,8.300000000000001,36.4,33.1,42.69307948239691,562,1481,,,,,,,,,,,,,,,,,,,,,,,,,,,,-91.40000000000001,-48.4,,-1.9,,,
Aomori,2020,8,3,0,1263000,95.936493,97.891006,90.292725,94.63121884840086,94.991501,12,-1,-.5,-2.75,-55,-100,-33.80802796740877,-11.5,-63.46804294162052,-17.63347477246005,-31.51289416303663,-2,-7.3,3,11.5,92.7,34.2,66.7,,40.9,25,33.3,31.7,31.5,33.3,24.2,16.7,36.4,33.9,-32.6411888194729,424,1144,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89.59999999999999,-22.3,,-15.5,,,
Aomori,2020,9,1,0,1263000,97.863617,98.534615,94.454437,96.31775316925091,94.551689,7.625,-2.5,-.5,-9.1851854,7,-97.834912,-8.834308076292588,-14.888889,-57.60106515285791,-13.59215131275862,-1.201186926476775,-7.1,-.8,-34.7,-1.4,104.5,33.5,33.3,,44.4,27.8,34.2,29.4,29.6,16.7,25.6,16.7,37.5,33,10.60202564740315,561,1664,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79.40000000000001,13.6,,11.1,,,
Aomori,2020,10,191,3,1263000,98.759392,100.01344,94.812355,97.39977617385013,96.291031,9.75,-3,-2,4.8064518,42,-97.3007712,-14.11641043380304,-13.387096,-59.18350932218473,16.60936075006349,16.41548122102979,3.8,-2.4,37.3,11.9,103.4,34.1,,,45.8,25,32.5,31.7,33.3,23.3,20.5,16.7,38.9,33.5,-11.95821605163698,677,1487,,,,,,,,,,,,,,,,,,,,,,,,,,,,-67.5,50.8,,13,,,
Aomori,2020,11,68,2,1263000,97.9851,100.06622,92.840355,97.02828258832007,96.76474,.125,-4.5,-1,1.75,117,-71.29291449999999,-22.52986159311185,-2.75,-21.43967208545156,-3.547742143508845,8.888389379488176,2.5,-1.1,28.8,15.4,96.7,35.4,66.7,,43,38.9,36.7,31.1,35.2,23.3,29.4,16.7,44,34.1,-9.916247545016262,636,1430,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82.2,-51.2,,-42.5,,,
Aomori,2020,12,187,2,1263000,98.730225,99.73761,94.255821,96.36548207993368,96.79113,-9,3.5,0,6.967742,87,-93.495935,-37.78924723840281,-10.193548,-20.29195554087098,-15.05163922435541,-15.43152656960829,-.2,-1,12.7,8.300000000000001,103.5,34.3,66.7,,42.2,27.8,36.8,27.8,36.4,5.6,29.2,16.7,40.3,33.5,-38.34753836409557,450,1085,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82.90000000000001,-57.8,,-24,,,
Aomori,2021,1,235,5,1263000,,,93.637047,96.37721353987577,,-19.5,5,.5,4,-52,-100,-46.63706727845505,-11.5,-18.9023427597832,-34.14851717146182,-15.11086699214179,.2,-.6,3.3,9.699999999999999,104.7,32.5,50,,43.2,38.9,34.2,27.3,30,8.300000000000001,28.1,16.7,35.6,32.1,249.3750265820452,458,1177,,,,,,,,,,,,,,,,,,,,,,,,,,,,-83.40000000000001,15,,-54.8,,,
Aomori,2021,2,99,7,1263000,,,93.603706,95.88584900330166,,-17.5,6,-1.5,2.75,-68,-97,-33.79872095848593,-9.25,-50.4793887376943,-34.3896010360798,-4.133536489665699,-1.3,-4.4,13.8,-4.5,104.3,33.8,33.3,,42.5,33.3,36.5,29.5,33.3,16.7,25,16.7,39.3,33,-1.45476564199339,505,1530,,,,,,,,,,,,,,,,,,,,,,,,,,,,-86.8,-14.9,,-54,,,
Aomori,2021,3,215,0,1263000,,,,,,-9,2,2,1,,-98,-31.24408338741653,-5.5,-4.399702171572075,-24.85904496663478,31.09010749030397,,,,,,35.6,16.7,,44.4,33.3,38.3,29.6,33.3,13.3,34.4,16.7,38.5,35.2,4.633780970254577,754,2253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aomori,2021,4,545,2,1263000,,,,,,-.625,,,2.6800001,,,-36.72,-8.2777777,,,,,,,,,38.8,50,,45,41.7,43.3,31.7,35,16.7,38.9,25,43.6,38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aomori,2021,5,205,4,1263000,,,,,,11.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiba,2020,1,1,0,6255000,102.05053,102.04228,100,100.000000445813,100,,-3,-2,9,-2,-64.7483105,-3.277171475490098,8.583333,-8.866149598370725,7.856371665993152,5.954023907709874,-.9,2.4,2,6.2,98.2,,,,,,,,,,,,,,-24.20319769070545,1159,4575,,,,,,,,,,,,,,,,,,,88.90000000000001,99.5,102.2,,,,,,,,,,,,,
Chiba,2020,2,12,0,6255000,100.7746,100.70428,99.809425,99.6875687058529,97.689995,-1.5,-2.5,-2.5,4.7037039,10,64.6714326,-6.636040999908787,9.4814816,-8.208554738339179,6.411936894762777,-2.738805302966981,5.3,5.7,12.9,22.7,99.09999999999999,40.4,33.3,50,48.3,58.3,37.6,32.6,34.4,38.9,46.8,,43.8,39.7,3.556965658934331,1351,5188,,,,,,,,,,,,,,,,,,,88.3,98.8,101.8,,,,,,,,,,,,,
Chiba,2020,3,158,1,6255000,96.997482,96.859726,94.602806,94.34816756088274,95.494164,-3.75,-7,-8.5,1.25,-94,-98.9268386,-20.00516373657396,6.75,-11.43078343578233,-10.0970199578034,-11.03843873301389,-1.4,-4.7,-4.1,9,95,34.8,25,33.3,41.3,45.8,32.8,28.9,33.3,31.8,38.8,,37,34.4,-22.16846977370037,1485,6260,,,,,,,,,,,,,,,,,,,87.7,98.3,101.6,,,,,,,,,,,,,
Chiba,2020,4,663,31,6255000,90.048836,89.832436,86.961876,86.06294572650908,88.751106,-23,-18,-26.5,5.2666669,-99,-99.80998080000001,-62.03712135731386,-14.433333,-67.6105360206911,-43.83823176569684,-18.75811825585632,-6.6,-7.3,-10.8,14,90.90000000000001,27.7,25,33.3,34.2,22.7,27.1,24.1,17.6,28.8,28.6,,31.1,27.1,18.24678352015043,880,2870,,,,,,,,,,,,,,,,,,,88.8,98.7,101.6,,,,,,,,,,,,,
Chiba,2020,5,64,13,6255000,86.929573,86.828377,84.321602,83.66340351964242,85.304741,-24.25,-14,-22,2.5,-99,-99.9871667,-50.17671809801767,-31.25,-78.72828882336799,-50.47489548255601,-12.71331845300374,-2.4,-6.1,9.6,7.3,85,25.9,25,33.3,30.9,19.4,23.7,24.5,15.7,27.8,27.2,,31.3,24.8,37.08701540650222,691,2081,,,,,,,,,,,,,,,,,,,89.09999999999999,98.59999999999999,101.6,,,,,,,,,,,,,
Chiba,2020,6,59,0,6255000,93.747627,93.869644,91.574013,91.3139963463186,91.356453,-12.625,-7,-12.5,1.5,-96,-98.32819240000001,-25.65322110783597,-29.75,-61.58167433506643,-27.55139659314693,-29.73513725377362,3.5,-2.5,34.1,8.800000000000001,86.90000000000001,29.3,25,50,36,30,23.9,23.6,30,29.6,35.2,,33,28.6,-26.90162419237231,1304,4028,,,,,,,,,,,,,,,,,,,151.8,99.09999999999999,101.6,,,,,,,,,,,,,
