prefecture,year,month,positive,death,population,gdo,gdp,mobility,credit_all,credit_service,pos,travel,eventticket,restaurant_info,joboffer,event_info,travel_info,movie_info
Gifu,2020,8,224,3,1997000,93.223038,93.20428203523946,-10.25,,,,,,,,,,
Gifu,2020,9,71,0,1997000,94.927368,95.82907602922155,-7,,,,,,,,,,
Gifu,2020,10,60,1,1997000,96.770393,98.29496994749422,-.5,,,,,,,,,,
Gifu,2020,11,386,3,1997000,96.187744,97.99685835785628,0,,,,,,,,,,
Gifu,2020,12,1220,20,1997000,95.706665,96.74274242063981,-12.75,,,,,,,,,,
Gifu,2021,1,1828,35,1997000,,97.08251391276148,-21.5,,,,,,,,,,
Gifu,2021,2,496,41,1997000,,,-18,,,,,,,,,,
Gifu,2021,3,101,11,1997000,,,-13,,,,,,,,,,
Gunma,2020,1,0,0,1952000,100.97414,101.5615064767537,,,,,,,,,,,
Gunma,2020,2,0,0,1952000,100.35337,100.6411843270172,.25,,,,,,,,,,
Gunma,2020,3,19,1,1952000,96.970345,96.44857729410838,-2.25,,,,,,,,,,
Gunma,2020,4,127,15,1952000,88.961182,86.28287623255942,-17.875,,,,,,,,,,
Gunma,2020,5,3,3,1952000,84.898338,81.38696075413131,-19,,,,,,,,,,
Gunma,2020,6,4,0,1952000,90.65361,88.33239283166127,-8.25,,,,,,,,,,
Gunma,2020,7,37,0,1952000,92.174629,91.44764291691858,-9.75,,,,,,,,,,
Gunma,2020,8,250,0,1952000,93.752396,92.76040497645683,-5.25,,,,,,,,,,
Gunma,2020,9,261,0,1952000,95.619576,95.77047514661733,-6.125,,,,,,,,,,
Gunma,2020,10,199,0,1952000,98.120872,98.28964054872506,-.25,,,,,,,,,,
Gunma,2020,11,307,3,1952000,97.817337,97.44327387302779,0,,,,,,,,,,
Gunma,2020,12,1108,22,1952000,96.825363,96.21807078737783,-10.25,,,,,,,,,,
Gunma,2021,1,1552,25,1952000,,96.83503132910423,-19.5,,,,,,,,,,
Gunma,2021,2,635,15,1952000,,,-16,,,,,,,,,,
Gunma,2021,3,317,10,1952000,,,-11.375,,,,,,,,,,
Hiroshima,2020,1,0,0,2817000,101.36775,101.2704683308589,,,,,,,,,,,
Hiroshima,2020,2,0,0,2817000,99.318039,100.3782657693855,.75,,,,,,,,,,
Hiroshima,2020,3,6,0,2817000,96.634605,96.3070417229909,-3.75,,,,,,,,,,
Hiroshima,2020,4,149,2,2817000,89.781418,86.71403583160414,-17.75,,,,,,,,,,
Hiroshima,2020,5,12,1,2817000,87.139664,82.29842023284571,-19.75,,,,,,,,,,
